 id_item | id_material_extra |                                               descripcion                                               |                  categoria                  |             presentacion              |       unidad       | permite_decimales | cantidad_disponible |          marca           | estado_calidad |  ubicacion  | precioxunidad |                          uso_principal                          |      ultima_modificacion      | stock_minimo
     253 | MCC-CIN-050S      | Cinta de tela tipo seda color naranja con franja de 1.5 cm S/M                                          | Cintas                                      | 10 mts                                | Mts                | t                 |                   1 | S/M                      | Bueno          |             |               | Identificaci≤n visual o delimitaci≤n en textiles                | 2025-06-18 15:23:05.241333-06 |         0.00
     254 | MCO-HIL-NYB100    | Hilo de Nylon Blanco #8 HN56 nuevo Omega                                                                | Hilos de Nylon                              | 1750 mts                              | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     255 | MCO-HIL-NYB070    | Hilo de Nylon Blanco #8 HN56 70% uso Omega                                                              | Hilos de Nylon                              | 1225 mts                              | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     256 | MCO-HIL-NYB050    | Hilo de Nylon Blanco #8 HN56 50% uso Omega                                                              | Hilos de Nylon                              | 875 mts                               | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     257 | MCO-HIL-NYB030    | Hilo de Nylon Blanco #8 HN56 30% uso Omega                                                              | Hilos de Nylon                              | 525 mts                               | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     258 | MCO-HIL-NYB020    | Hilo de Nylon Blanco #8 HN56 20% uso Omega                                                              | Hilos de Nylon                              | 350 mts                               | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     259 | MCO-HIL-NYN100    | Hilo de Nylon Negro #8 HN56 nuevo Omega                                                                 | Hilos de Nylon                              | 1750 mts                              | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     260 | MCO-HIL-NYN070    | Hilo de Nylon Negro #8 HN56 70% uso Omega                                                               | Hilos de Nylon                              | 1140 mts                              | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     261 | MCO-HIL-NYN040    | Hilo de Nylon Negro #8 HN56 40% uso Omega                                                               | Hilos de Nylon                              | 525 mts                               | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     262 | MCO-HIL-NYN025    | Hilo de Nylon Negro #8 HN56 25% uso Omega                                                               | Hilos de Nylon                              | 525 mts                               | Mts                | t                 |                   1 | Omega                    | Bueno          |             |               | Costura y reparaci≤n de redes deportivas                        | 2025-06-18 15:23:05.241333-06 |         0.00
     263 | MCO-MOL-OJM30     | Molde de acero para prensar ojillos medianos (3 x 3 cm)                                                 | Moldes para prensar ojillos                 | 3 x 3 cms                             | Juego              | t                 |                   1 | S/M                      | Bueno          |             |               | Prensado de ojillos medianos en lonas                           | 2025-06-18 15:23:05.241333-06 |         0.00
     264 | MCO-MOL-OJM25     | Molde de acero para prensar ojillos medianos (2.5 x 2 cm)                                               | Moldes para prensar ojillos                 | 2.5 x 2 cms                           | Juego              | t                 |                   1 | S/M                      | Bueno          |             |               | Prensado de ojillos medianos en lonas                           | 2025-06-18 15:23:05.241333-06 |         0.00
     265 | MCO-PAR-UNI12R    | Parches rojos bordados Sercodam con letras blancas para uniformes Sercodam                              | Parches                                     | 12 x 4.5 cms                          | Pza                | t                 |                   1 | Sercodam                 | Bueno          |             |               | Identificaci≤n en uniformes                                     | 2025-06-18 15:23:05.241333-06 |         0.00
     267 | MCO-RED-BSKCO     | Red de para Aro de Basketball en colores verde, blanco y rojo                                           | Redes Deportivas Terminadas                 | N/D                                   | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Canastas deportivas                                             | 2025-06-18 15:23:05.241333-06 |         0.00
     268 | MCO-RED-FTMS      | Red para porterφa de Football (muestra) calibre 18, cuadro 14 cm                                        | Redes Deportivas Terminadas                 | N/D                                   | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Porterφa deportiva, muestra tΘcnica                             | 2025-06-18 15:23:05.241333-06 |         0.00
     269 | MCO-RED-GOLF      | Jaula de prßctica para Golf (5 partes de 3x3m, red 36 x 1 3/4")                                         | Redes Deportivas Terminadas                 | 3x3 m c/u (5 partes)                  | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Prßctica de Golf                                                | 2025-06-18 15:23:05.241333-06 |         0.00
     270 | MCO-RED-PADD      | Red de Paddle con refuerzo, lonas blanca/negra y cable de acero                                         | Redes Deportivas Terminadas                 | 10.00 x 0.90 mts                      | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Red completa de Paddle con refuerzo                             | 2025-06-18 15:23:05.241333-06 |         0.00
     271 | MCO-RED-TENN      | Red de Tenis con lonas (blanca y negra) y cable de acero                                                | Redes Deportivas Terminadas                 | 12.80 x 1.00 mts                      | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Red de tenis lista para instalaci≤n                             | 2025-06-18 15:23:05.241333-06 |         0.00
     272 | MCO-RED-VOLB      | Red de Volleyball blanca completa con lonas, cables y tubos                                             | Redes Deportivas Terminadas                 | 18.00 x 1.00 mts aprox.               | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Red de Volleyball con todos los accesorios                      | 2025-06-18 15:23:05.241333-06 |         0.00
     273 | MCO-RED-VOLV      | Red de Volleyball verde con loma en color naranja                                                       | Redes Deportivas Terminadas                 | 10.00 x 1.00 mts                      | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Muestra de red de Volleyball color personalizado                | 2025-06-18 15:23:05.241333-06 |         0.00
     266 | MCO-RED-RCK01     | Red de Nylon para Racks de LÆOrΘal con refuerzo, etiquetas y emplaye (producto terminado)               | Red de Nylon para Racks de L'OrΘal          | 9.00 x 2.20 mts                       | Pza                | t                 |                   1 | Loreal                   | Bueno          |             |               | Exhibici≤n y soporte para racks comerciales                     | 2025-06-18 15:23:05.241333-06 |         0.00
      22 | MCO-COP-PVC2B     | Cople de PVC boquilla 2 cm con salida                                                                   | Cople para conexiones y mangueras           | 2 cm boquilla con salida              | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Adaptador en sistemas simples de riego o conexi≤n               | 2025-06-18 15:23:05.241333-06 |         0.00
      23 | MCO-COP-COBR2     | Cople de cobre con boquilla de 2 cm rosca de engrane                                                    | Cople para conexiones y mangueras           | 2 x 1 cms                             | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conexiones de gas o sistemas de presi≤n                         | 2025-06-18 15:23:05.241333-06 |         0.00
      24 | MCO-COP-PLS12A    | Cople de plßstico 1/2" con salida 1.5 cm (Truper)                                                       | Cople para conexiones y mangueras           | 4 cm largo / salida 1.5 cms           | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Conexi≤n bßsica para mangueras o sistemas caseros               | 2025-06-18 15:23:05.241333-06 |         0.00
      25 | MCO-COP-PVC12B    | Cople PVC 1/2" entrada con salida 1.5 cm                                                                | Cople para conexiones y mangueras           | 2.5 cms largo                         | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Adaptaci≤n de tuberφa a sistemas secundarios                    | 2025-06-18 15:23:05.241333-06 |         0.00
      26 | MCO-COP-PVC12C    | Cople PVC 1/2" entrada con salida 1.2 cm                                                                | Cople para conexiones y mangueras           | 2 cms largo                           | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Transici≤n en conexiones peque±as                               | 2025-06-18 15:23:05.241333-06 |         0.00
      27 | MCO-COP-TRI12     | Cople triple plßstico 1/2" (amarillo/negro/naranja)                                                     | Cople para conexiones y mangueras           | 3 salidas / 3.5 cm                    | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Distribuidor o derivador para sistemas m·ltiples                | 2025-06-18 15:23:05.241333-06 |         0.00
      40 | MCO-OJI-005G      | Ojillos de metal grandes L5 Milano                                                                      | Ojillos de Metal                            | Pza individual                        | Pza                | t                 |                   1 | Milano                   | Bueno          |             |               | Refuerzo de orificios en textiles de alta resistencia           | 2025-06-18 15:23:05.241333-06 |         0.00
